Invoice ID;Branch;Country;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;gross income;Rating
750-67-8428;A;Izmir;Member;Kadın;Saglık ve Guzellik;?7.469;7;261415;5489715;1.05.2019;0.547222222;Ecuzdan;?261.415;9.0 
226-31-3081;C;Aydın;Normal;Kadın;Elektronik aksesuar;?1.528;5;382;8022;3.08.2019;0.436805556;Nakit;?382;9.5 
631-41-3108;A;Izmir;Normal;Erkek;Ev ve Yasam;?4.633;7;162155;3405255;3.03.2019;0.557638889;Kredi kartı;?162.155;7.3 
123-19-1176;A;Izmir;Member;Erkek;Saglık ve Guzellik;?5.822;8;23288;489048;1/27/2019;0.85625;Ecuzdan;?23.288;8.3 
373-73-7910;A;Izmir;Normal;Erkek;Spor ve gezi;?8.631;7;302085;6343785;2.08.2019;0.442361111;Ecuzdan;?302.085;5.2 
699-14-3026;C;Aydın;Normal;Erkek;Elektronik aksesuar;?8.539;7;298865;6276165;3/25/2019;0.770833333;Ecuzdan;?298.865;4.1 
355-53-5943;A;Izmir;Member;Kadın;Elektronik aksesuar;?6.884;6;20652;433692;2/25/2019;0.608333333;Ecuzdan;?20.652;5.7 
315-22-5665;C;Aydın;Normal;Kadın;Ev ve Yasam;?7.356;10;3678;77238;2/24/2019;0.484722222;Ecuzdan;?3.678;0.8 
665-32-9167;A;Izmir;Member;Kadın;Saglık ve Guzellik;?3.626;2;3626;76146;1.10.2019;0.71875;Kredi kartı;?3.626;7.1 
692-92-5582;B;Manisa;Member;Kadın;Yiyecek icecek;?5.484;3;8226;172746;2/20/2019;0.560416667;Kredi kartı;?8.226;5.8 
351-62-0822;B;Manisa;Member;Kadın;Moda aksesuar;?1.448;4;2896;60816;2.06.2019;0.754861111;Ecuzdan;?2.896;4.5 
529-56-3974;B;Manisa;Member;Erkek;Elektronik aksesuar;?2.551;4;5102;107142;3.09.2019;0.710416667;Nakit;?5.102;6.7 
365-64-0515;A;Izmir;Normal;Kadın;Elektronik aksesuar;?4.695;5;117375;2464875;2.12.2019;0.434027778;Ecuzdan;?117.375;7.0 
252-56-2699;A;Izmir;Normal;Erkek;Yiyecek icecek;?4.319;10;21595;453495;2.07.2019;0.7;Ecuzdan;?21.595;8.1 
829-34-3910;A;Izmir;Normal;Kadın;Saglık ve Guzellik;?7.138;10;3569;74949;3/29/2019;0.80625;Nakit;?3.569;5.6 
299-46-1805;B;Manisa;Member;Kadın;Spor ve gezi;?9.372;6;28116;590436;1/15/2019;0.679861111;Nakit;?28.116;4.5 
656-95-9349;A;Izmir;Member;Kadın;Saglık ve Guzellik;?6.893;7;241255;5066355;3.11.2019;0.460416667;Kredi kartı;?241.255;4.6 
